Items: 94
[1/94] pizza_margherita...   OK pizza_margherita (105132b)
[2/94] pizza_mexicano...   OK pizza_mexicano (155239b)
[3/94] pizza_chicken...   OK pizza_chicken (245034b)
[4/94] pizza_meat...   OK pizza_meat (155430b)
[5/94] pizza_mix...   OK pizza_mix (135360b)
[6/94] pizza_bbq...   OK pizza_bbq (122175b)
[7/94] pizza_pepperoni...   OK pizza_pepperoni (114673b)
[8/94] pizza_vegetables...   OK pizza_vegetables (182658b)
[9/94] pizza_tuna...   OK pizza_tuna (143549b)
[10/94] pizza_four_cheese...   OK pizza_four_cheese (153251b)
[11/94] feteer_cheese...   OK feteer_cheese (86383b)
[12/94] feteer_honey_cheese...   OK feteer_honey_cheese (94424b)
[13/94] feteer_chicken...   OK feteer_chicken (189119b)
[14/94] feteer_chicken_cheese...   OK feteer_chicken_cheese (120961b)
[15/94] feteer_mixed_cheese...   OK feteer_mixed_cheese (157554b)
[16/94] feteer_hotdog...   OK feteer_hotdog (101079b)
[17/94] feteer_meat...   OK feteer_meat (154949b)
[18/94] feteer_pastrami...   OK feteer_pastrami (100048b)
[19/94] feteer_sausage...   OK feteer_sausage (76989b)
[20/94] feteer_tuna...   OK feteer_tuna (153838b)
[21/94] feteer_honey...   OK feteer_honey (126251b)
[22/94] feteer_cream...   OK feteer_cream (128655b)
[23/94] feteer_honey_cream...   OK feteer_honey_cream (97943b)
[24/94] feteer_chocolate...   OK feteer_chocolate (108330b)
[25/94] feteer_nutella...   OK feteer_nutella (130686b)
[26/94] feteer_banana_chocolate...   OK feteer_banana_chocolate (98886b)
[27/94] feteer_honey_banana...   OK feteer_honey_banana (94473b)
[28/94] feteer_lotus...   OK feteer_lotus (72732b)
[29/94] feteer_mixed_sweet...   OK feteer_mixed_sweet (166787b)
[30/94] shawarma_arabic_chicken...   OK shawarma_arabic_chicken (161165b)
[31/94] shawarma_arabic_chicken_extra...   OK shawarma_arabic_chicken_extra (146519b)
[32/94] shawarma_arabic_meat...   OK shawarma_arabic_meat (111143b)
[33/94] shawarma_arabic_meat_extra...   OK shawarma_arabic_meat_extra (161095b)
[34/94] shawarma_chicken...   OK shawarma_chicken (136877b)
[35/94] shawarma_meat...   OK shawarma_meat (154035b)
[36/94] shawarma_mix...   OK shawarma_mix (128380b)
[37/94] shawarma_chicken_meal...   OK shawarma_chicken_meal (117926b)
[38/94] shawarma_meat_meal...   OK shawarma_meat_meal (119370b)
[39/94] shawarma_mix_meal...   OK shawarma_mix_meal (103727b)
[40/94] saj_chicken...   OK saj_chicken (162037b)
[41/94] saj_meat...   OK saj_meat (144921b)
[42/94] saj_mix...   OK saj_mix (136271b)
[43/94] saj_crispy...   OK saj_crispy (118157b)
[44/94] saj_zinger...   OK saj_zinger (108939b)
[45/94] saj_mexican...   OK saj_mexican (176070b)
[46/94] saj_hotdog...   OK saj_hotdog (128683b)
[47/94] saj_falafel...   OK saj_falafel (143827b)
[48/94] burger_classic...   OK burger_classic (171978b)
[49/94] burger_cheese...   OK burger_cheese (102721b)
[50/94] burger_double...   OK burger_double (149208b)
[51/94] burger_chicken...   OK burger_chicken (128023b)
[52/94] burger_crispy...   OK burger_crispy (108304b)
[53/94] burger_zinger...   OK burger_zinger (147065b)
[54/94] grill_mixed_small...   OK grill_mixed_small (214666b)
[55/94] grill_mixed_medium...   OK grill_mixed_medium (141044b)
[56/94] grill_mixed_large...   OK grill_mixed_large (290065b)
[57/94] kebab_meat...   OK kebab_meat (203322b)
[58/94] kebab_chicken...   OK kebab_chicken (119305b)
[59/94] shish_tawook...   OK shish_tawook (124665b)
[60/94] grilled_chicken...   OK grilled_chicken (177123b)
[61/94] lamb_chops...   OK lamb_chops (197830b)
[62/94] bbq_mix...   OK bbq_mix (183764b)
[63/94] half_grilled_chicken...   OK half_grilled_chicken (166072b)
[64/94] full_grilled_chicken...   OK full_grilled_chicken (205108b)
[65/94] broast_meal...   OK broast_meal (117771b)
[66/94] family_meal...   OK family_meal (215788b)
[67/94] family_meal_mix...   OK family_meal_mix (184949b)
[68/94] salad_green...   OK salad_green (146336b)
[69/94] salad_fattoush...   OK salad_fattoush (139700b)
[70/94] salad_tabbouleh...   OK salad_tabbouleh (199757b)
[71/94] salad_coleslaw...   OK salad_coleslaw (101334b)
[72/94] salad_tahina...   OK salad_tahina (128378b)
[73/94] fries...   OK fries (114393b)
[74/94] cheese_fries...   OK cheese_fries (118063b)
[75/94] garlic_sauce...   OK garlic_sauce (111906b)
[76/94] extra_cheese...   OK extra_cheese (86584b)
[77/94] extra_chicken...   OK extra_chicken (75961b)
[78/94] extra_meat...   OK extra_meat (169488b)
[79/94] juice_orange...   OK juice_orange (71022b)
[80/94] juice_lemon...   OK juice_lemon (86139b)
[81/94] juice_lemon_mint...   OK juice_lemon_mint (99280b)
[82/94] juice_cocktail...   OK juice_cocktail (76215b)
[83/94] juice_mango...   OK juice_mango (58011b)
[84/94] juice_strawberry...   OK juice_strawberry (121628b)
[85/94] juice_avocado...   OK juice_avocado (84205b)
[86/94] juice_pomegranate...   OK juice_pomegranate (149608b)
[87/94] juice_kiwi...   OK juice_kiwi (115016b)
[88/94] juice_watermelon...   OK juice_watermelon (123731b)
[89/94] mojito_blue...   OK mojito_blue (102960b)
[90/94] mojito_green...   OK mojito_green (123521b)
[91/94] mojito_red...   OK mojito_red (114900b)
[92/94] mojito_passion...   OK mojito_passion (83323b)
[93/94] mojito_strawberry...   OK mojito_strawberry (100884b)
[94/94] mojito_mango...   OK mojito_mango (103585b)

Done: 94/94
